Casting No. / Batch No.,Zn,Fe,Si,Cu,In,Mg,Sn,Ti,Cd,Ga,B,Na,Ni,Oth,V,Al(By Diff)
26C0260216,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26F0233407,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26F0233408,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26F0233409,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26C0260104,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26F0256406,0.0024,0.158,0.062,0.0007,,0.0026,,0.0147,,0.0106,0.0049,0.0013,0.0025,0.01,0.0052,99.728
26E0324402,0.0016,0.07,0.066,0.0004,,0.0011,,0.0008,,0.0111,0.0035,0.0055,0.0026,0.01,0.0092,99.821
26E0324403,0.0016,0.07,0.066,0.0004,,0.0011,,0.0008,,0.0111,0.0035,0.0055,0.0026,0.01,0.0092,99.821
26A0266231,0.0016,0.084,0.073,0.0005,,0.0009,,0.0008,,0.0112,0.0029,0.0036,0.003,0.01,0.0082,99.802
26A0266219,0.0016,0.084,0.073,0.0005,,0.0009,,0.0008,,0.0112,0.0029,0.0036,0.003,0.01,0.0082,99.802
